individual,treat,start_date,death_date,age,censor
1,R,01/04/2019,09/06/2019,69,1
2,C,01/04/2019,19/07/2019,109,1
3,C,01/04/2019,29/06/2019,89,1
4,C,01/04/2019,05/07/2019,95,1
5,R,01/04/2019,24/06/2019,84,0
6,C,01/04/2019,28/06/2019,88,0
7,R,01/04/2019,03/05/2019,32,1
8,R,01/04/2019,22/05/2019,51,1
9,C,01/04/2019,24/07/2019,114,1
10,R,01/04/2019,25/06/2019,85,1
11,R,01/04/2019,11/07/2019,101,1
12,R,01/04/2019,24/06/2019,84,0
13,C,01/04/2019,27/06/2019,87,1
14,R,01/04/2019,02/08/2019,123,1
15,R,01/04/2019,12/08/2019,133,1
16,C,01/04/2019,09/05/2019,38,1
18,R,01/04/2019,07/05/2019,36,0
19,R,01/04/2019,07/05/2019,36,0
20,C,01/04/2019,31/07/2019,121,1
21,C,01/04/2019,07/07/2019,97,1
22,R,01/04/2019,24/06/2019,84,0
23,C,01/04/2019,10/08/2019,131,1
24,C,01/04/2019,12/08/2019,133,0
25,C,01/04/2019,12/08/2019,133,0
26,R,01/04/2019,18/07/2019,108,1
27,C,01/04/2019,23/07/2019,113,1
28,C,01/04/2019,28/06/2019,88,0
29,C,01/04/2019,28/06/2019,88,0
30,C,01/04/2019,08/07/2019,98,1
31,C,01/04/2019,12/08/2019,133,0
32,R,01/04/2019,05/08/2019,126,1
33,C,01/04/2019,28/06/2019,88,0
34,R,01/04/2019,21/05/2019,50,1
35,R,01/04/2019,07/05/2019,36,0
36,C,01/04/2019,07/08/2019,128,1
37,C,01/04/2019,05/09/2019,157,1
38,R,01/04/2019,24/06/2019,84,0
39,R,01/04/2019,06/05/2019,35,1
40,C,01/04/2019,29/07/2019,119,1
41,R,01/04/2019,24/06/2019,84,0
42,R,01/04/2019,07/05/2019,36,0
43,R,01/04/2019,19/08/2019,140,1
44,R,01/04/2019,18/04/2019,17,1
45,C,01/04/2019,12/08/2019,133,0
46,R,01/04/2019,08/06/2019,68,1
47,R,01/04/2019,28/05/2019,57,1
48,C,01/04/2019,28/06/2019,88,0
49,C,01/04/2019,12/08/2019,133,0
50,C,01/04/2019,12/08/2019,133,0
52,C,01/04/2019,28/06/2019,88,0
53,C,01/04/2019,13/06/2019,73,1
55,C,01/04/2019,26/08/2019,147,1
56,R,01/04/2019,11/08/2019,132,1
57,C,01/04/2019,18/04/2019,17,0
58,C,01/04/2019,11/06/2019,71,1
59,C,01/04/2019,16/08/2019,137,1
60,R,01/04/2019,23/06/2019,83,1
61,R,01/04/2019,27/07/2019,117,1
62,C,01/04/2019,30/07/2019,120,0
63,C,01/04/2019,29/06/2019,89,1
64,C,01/04/2019,12/08/2019,133,1
65,C,01/04/2019,14/07/2019,104,1
66,R,01/04/2019,08/05/2019,37,1
67,R,01/04/2019,07/05/2019,36,0
68,C,01/04/2019,07/07/2019,97,1
69,R,01/04/2019,04/05/2019,33,1
70,R,01/04/2019,24/06/2019,84,0
71,R,01/04/2019,20/06/2019,80,1
72,R,01/04/2019,09/06/2019,69,1
73,R,01/04/2019,04/08/2019,125,1
74,R,01/04/2019,29/05/2019,58,1
75,R,01/04/2019,07/05/2019,36,0